mes,renda,alguel,mercado,internet,agua,luz,cartao
JANEIRO	R$ 2.420,00	R$ 1.000,00	R$ 250,00	R$ 99,90	R$ 150,00	R$ 56,00	R$ 1.400,00
FEVEREIRO							
MARÇO							
ABRIL							
MAIO							
JUNHO							
JULHO							
AGOSTO							
SETEMBRO							
OUTUBRO							
NOVEMBRO							
DEZEMBRO							
